Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
"charizard-ex-151-199","Charizard ex · Special Illustration Rare (199/165)","<p><strong>Charizard ex</strong> — Special Illustration Rare from Scarlet & Violet — 151 (199/165).</p><p>Type: Fire · HP 330</p><p>Illustrated by miki kudo.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Special Illustration Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-199-165",1,"shopify",5,"deny","manual",129.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/199_hires.png","Charizard ex Special Illustration Rare card","active"
"venusaur-ex-151-198","Venusaur ex · Special Illustration Rare (198/165)","<p><strong>Venusaur ex</strong> — Special Illustration Rare from Scarlet & Violet — 151 (198/165).</p><p>Type: Grass · HP 340</p><p>Illustrated by Yoriyuki Ikegami.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Special Illustration Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-198-165",1,"shopify",5,"deny","manual",129.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/198_hires.png","Venusaur ex Special Illustration Rare card","active"
"blastoise-ex-151-200","Blastoise ex · Special Illustration Rare (200/165)","<p><strong>Blastoise ex</strong> — Special Illustration Rare from Scarlet & Violet — 151 (200/165).</p><p>Type: Water · HP 330</p><p>Illustrated by Mitsuhiro Arita.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Special Illustration Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-200-165",1,"shopify",5,"deny","manual",129.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/200_hires.png","Blastoise ex Special Illustration Rare card","active"
"pikachu-151-173","Pikachu · Illustration Rare (173/165)","<p><strong>Pikachu</strong> — Illustration Rare from Scarlet & Violet — 151 (173/165).</p><p>Type: Lightning · HP 60</p><p>Illustrated by Hiroyuki Yamamoto.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Illustration Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-173-165",1,"shopify",5,"deny","manual",19.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/173_hires.png","Pikachu Illustration Rare card","active"
"mew-ex-151-205","Mew ex · Hyper Rare (205/165)","<p><strong>Mew ex</strong> — Hyper Rare from Scarlet & Violet — 151 (205/165).</p><p>Type: Psychic · HP 180</p><p>Illustrated by aky CG Works.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Hyper Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-205-165",1,"shopify",5,"deny","manual",49.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/205_hires.png","Mew ex Hyper Rare card","active"
"alakazam-ex-151-201","Alakazam ex · Special Illustration Rare (201/165)","<p><strong>Alakazam ex</strong> — Special Illustration Rare from Scarlet & Violet — 151 (201/165).</p><p>Type: Psychic · HP 310</p><p>Illustrated by Shinya Komatsu.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Special Illustration Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-201-165",1,"shopify",5,"deny","manual",129.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/201_hires.png","Alakazam ex Special Illustration Rare card","active"
"zapdos-ex-151-202","Zapdos ex · Special Illustration Rare (202/165)","<p><strong>Zapdos ex</strong> — Special Illustration Rare from Scarlet & Violet — 151 (202/165).</p><p>Type: Lightning · HP 200</p><p>Illustrated by Shiburingaru.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Special Illustration Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-202-165",1,"shopify",5,"deny","manual",129.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/202_hires.png","Zapdos ex Special Illustration Rare card","active"
"snorlax-151-143","Snorlax · Uncommon (143/165)","<p><strong>Snorlax</strong> — Uncommon from Scarlet & Violet — 151 (143/165).</p><p>Type: Colorless · HP 150</p><p>Illustrated by HYOGONOSUKE.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Uncommon, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-143-165",1,"shopify",5,"deny","manual",1.49,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/143_hires.png","Snorlax Uncommon card","active"
"dragonite-151-149","Dragonite · Rare (149/165)","<p><strong>Dragonite</strong> — Rare from Scarlet & Violet — 151 (149/165).</p><p>Type: Dragon · HP 180</p><p>Illustrated by Sanosuke Sakuma.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-149-165",1,"shopify",5,"deny","manual",2.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/149_hires.png","Dragonite Rare card","active"
"gyarados-151-130","Gyarados · Rare (130/165)","<p><strong>Gyarados</strong> — Rare from Scarlet & Violet — 151 (130/165).</p><p>Type: Water · HP 190</p><p>Illustrated by Kouki Saitou.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-130-165",1,"shopify",5,"deny","manual",2.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/130_hires.png","Gyarados Rare card","active"
"bulbasaur-151-166","Bulbasaur · Illustration Rare (166/165)","<p><strong>Bulbasaur</strong> — Illustration Rare from Scarlet & Violet — 151 (166/165).</p><p>Type: Grass · HP 70</p><p>Illustrated by Yoriyuki Ikegami.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Illustration Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-166-165",1,"shopify",5,"deny","manual",19.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/166_hires.png","Bulbasaur Illustration Rare card","active"
"charmander-151-168","Charmander · Illustration Rare (168/165)","<p><strong>Charmander</strong> — Illustration Rare from Scarlet & Violet — 151 (168/165).</p><p>Type: Fire · HP 70</p><p>Illustrated by miki kudo.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Illustration Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-168-165",1,"shopify",5,"deny","manual",19.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/168_hires.png","Charmander Illustration Rare card","active"
"charmeleon-151-169","Charmeleon · Illustration Rare (169/165)","<p><strong>Charmeleon</strong> — Illustration Rare from Scarlet & Violet — 151 (169/165).</p><p>Type: Fire · HP 100</p><p>Illustrated by miki kudo.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Illustration Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-169-165",1,"shopify",5,"deny","manual",19.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/169_hires.png","Charmeleon Illustration Rare card","active"
"squirtle-151-170","Squirtle · Illustration Rare (170/165)","<p><strong>Squirtle</strong> — Illustration Rare from Scarlet & Violet — 151 (170/165).</p><p>Type: Water · HP 60</p><p>Illustrated by Mitsuhiro Arita.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Illustration Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-170-165",1,"shopify",5,"deny","manual",19.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/170_hires.png","Squirtle Illustration Rare card","active"
"psyduck-151-175","Psyduck · Illustration Rare (175/165)","<p><strong>Psyduck</strong> — Illustration Rare from Scarlet & Violet — 151 (175/165).</p><p>Type: Water · HP 70</p><p>Illustrated by Whisker.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Illustration Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-175-165",1,"shopify",5,"deny","manual",19.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/175_hires.png","Psyduck Illustration Rare card","active"
"poliwhirl-151-176","Poliwhirl · Illustration Rare (176/165)","<p><strong>Poliwhirl</strong> — Illustration Rare from Scarlet & Violet — 151 (176/165).</p><p>Type: Water · HP 90</p><p>Illustrated by Gemi.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Illustration Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-176-165",1,"shopify",5,"deny","manual",19.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/176_hires.png","Poliwhirl Illustration Rare card","active"
"kadabra-151-64","Kadabra · Uncommon (64/165)","<p><strong>Kadabra</strong> — Uncommon from Scarlet & Violet — 151 (64/165).</p><p>Type: Psychic · HP 80</p><p>Illustrated by Mitsuhiro Arita.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Uncommon, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-64-165",1,"shopify",5,"deny","manual",1.49,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/64_hires.png","Kadabra Uncommon card","active"
"machamp-151-68","Machamp · Rare (68/165)","<p><strong>Machamp</strong> — Rare from Scarlet & Violet — 151 (68/165).</p><p>Type: Fighting · HP 180</p><p>Illustrated by Ryuta Fuse.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-68-165",1,"shopify",5,"deny","manual",2.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/68_hires.png","Machamp Rare card","active"
"golem-ex-151-189","Golem ex · Ultra Rare (189/165)","<p><strong>Golem ex</strong> — Ultra Rare from Scarlet & Violet — 151 (189/165).</p><p>Type: Fighting · HP 330</p><p>Illustrated by PLANETA Igarashi.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Ultra Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-189-165",1,"shopify",5,"deny","manual",14.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/189_hires.png","Golem ex Ultra Rare card","active"
"slowpoke-151-79","Slowpoke · Common (79/165)","<p><strong>Slowpoke</strong> — Common from Scarlet & Violet — 151 (79/165).</p><p>Type: Psychic · HP 80</p><p>Illustrated by OKACHEKE.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Common, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-79-165",1,"shopify",5,"deny","manual",1.49,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/79_hires.png","Slowpoke Common card","active"
"magneton-151-82","Magneton · Uncommon (82/165)","<p><strong>Magneton</strong> — Uncommon from Scarlet & Violet — 151 (82/165).</p><p>Type: Lightning · HP 90</p><p>Illustrated by Yuka Morii.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Uncommon, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-82-165",1,"shopify",5,"deny","manual",1.49,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/82_hires.png","Magneton Uncommon card","active"
"dodrio-151-85","Dodrio · Rare (85/165)","<p><strong>Dodrio</strong> — Rare from Scarlet & Violet — 151 (85/165).</p><p>Type: Colorless · HP 100</p><p>Illustrated by Anesaki Dynamic.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-85-165",1,"shopify",5,"deny","manual",2.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/85_hires.png","Dodrio Rare card","active"
"hitmonchan-151-107","Hitmonchan · Uncommon (107/165)","<p><strong>Hitmonchan</strong> — Uncommon from Scarlet & Violet — 151 (107/165).</p><p>Type: Fighting · HP 120</p><p>Illustrated by DOM.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Uncommon, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-107-165",1,"shopify",5,"deny","manual",1.49,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/107_hires.png","Hitmonchan Uncommon card","active"
"ditto-151-132","Ditto · Rare (132/165)","<p><strong>Ditto</strong> — Rare from Scarlet & Violet — 151 (132/165).</p><p>Type: Colorless · HP 60</p><p>Illustrated by KIYOTAKA OSHIYAMA.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-132-165",1,"shopify",5,"deny","manual",2.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/132_hires.png","Ditto Rare card","active"
"omanyte-151-180","Omanyte · Illustration Rare (180/165)","<p><strong>Omanyte</strong> — Illustration Rare from Scarlet & Violet — 151 (180/165).</p><p>Type: Water · HP 100</p><p>Illustrated by Yano Keiji.</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","Pokemon, Illustration Rare, Scarlet & Violet — 151",TRUE,"Title","Default Title","HC-180-165",1,"shopify",5,"deny","manual",19.99,TRUE,TRUE,"https://images.pokemontcg.io/sv3pt5/180_hires.png","Omanyte Illustration Rare card","active"
"shanks-op01-120","Shanks · Secret Rare (OP01-120)","<p><strong>Shanks</strong> — Secret Rare from OP-01 Romance Dawn (OP01-120).</p><p>Color: Red · Power 10000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Secret Rare, OP-01 Romance Dawn",TRUE,"Title","Default Title","HC-OP01-120",1,"shopify",5,"deny","manual",149.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP01-120.png?260715","Shanks Secret Rare card","active"
